conditionId,question,end_date,tags,group
0x02bc0bbff054877a08cdc4f9ccf4e7606804bc05c27f5faccf26c6e1666a5558,Will a Democrat win Pennsylvania Presidential Election?,2024-11-05T00:00:00Z,"Politics,republican party,Elections,presidential election,democrats,pennsylvania,third party,US Election,Swing States,State Presidential Election,All",election
0x037c9d29c04a2f6a5373ae7db7779cb40a751ca372de1e55999397a8f571c67e,Will Ron DeSantis win the popular vote in the 2024 Presidential Election?,2024-11-05T00:00:00Z,"Politics,Joe Biden,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,ron desantis,presidential election,gavin newsom,kanye west,hillary clinton,kamala harris,democrats,presidential election 2024,election,chris christie,elizabeth warren,michelle obama,US Election,aoc,bernie sanders,Popular Vote,voting,All",election
0x04787bbd66241501604f377f11b897879c1593b019bb3363dac0a73e99b4a131,Will Fed cut interest rates 0 times in 2024?,2024-12-30T00:00:00Z,"Business,Fed Rates,All,Economy",fed
0x08f5fe8d0d29c08a96f0bc3dfb52f50e0caf470d94d133d95d38fa6c847e0925,Will Bernie Sanders win the 2024 US Presidential Election?,2024-11-05T00:00:00Z,"Politics,Joe Biden,USA Election,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,democratic party,ron desantis,us elections,gavin newsom,2024 election,kanye west,hillary clinton,kamala harris,robert f. kennedy jr.,chris christie,us presidential election 2024,elizabeth warren,michelle obama,US Election,2024 us presidential election,aoc,bernie sanders,All,potusbanner",election
0x0b7c6545b913133ccde713feb3599cae65325030bbe3e1bdf99943e5f5ef3464,Will the Fed decrease interest rates by 25 bps after its January meeting?,2024-01-31T00:00:00Z,"Finance,federal reserve,economy1,interest rates,monetary policy,Fed,All",fed
0x0c12d7b5322f432a0c4ac8806b476c7483c4d44061ca1188b6f749ec9db34996,Will Nikki Haley win the popular vote in the 2024 Presidential Election?,2024-11-05T00:00:00Z,"Politics,Joe Biden,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,ron desantis,presidential election,gavin newsom,kanye west,hillary clinton,kamala harris,democrats,presidential election 2024,election,chris christie,elizabeth warren,michelle obama,US Election,aoc,bernie sanders,Popular Vote,voting,All",election
0x0fb3a064027b95de36af33e6b88b9bbd56f9e80707fe828c542daa3bd38f9001,Will the Fed raise interest rates by 25 bps after its November meeting?,2023-10-31T00:00:00Z,All,fed
0x1070c27e30447364ed6602778729203d29aaa8860cb0a24779eb3a26f68b245f,Will Fed cut interest rates 6+ times in 2024?,2024-12-30T00:00:00Z,"Business,Fed Rates,All,Economy",fed
0x1092f6af37037a3539947b2052eeffff3608e2b68926340cab146369d3d2aac9,Will a Democrat win Michigan Presidential Election?,2024-11-05T00:00:00Z,"Politics,republican party,Elections,presidential election,democrat,third party,michigan,US Election,Swing States,State Presidential Election,All",election
0x136e99098f7d4087b4c5775d9f9a512de67e50bda37e88fa86b05a226c390182,Will a Republican win the popular vote and a Democrat win the Presidency?,2024-11-05T00:00:00Z,"Politics,USA Election,presidential election 2024,election,US Election,Popular Vote,Electoral College ",election
