kappa,kappa_free,se_kappa,model,sigma_v,se_sigma_v,sigma_J,se_sigma_J,theta,lambda,j_stat,j_dof,j_pvalue,n_real,n_sim,objective
1.000000,False,,ConstantVol,0.000000,,0.000000,,0.029414,0.017870,1221270.206366,5,0.000000,4141,82820,309.667645
1.000000,False,,Heston,0.440096,0.000927,0.000000,,0.029414,0.017870,861691.284356,4,0.000000,4141,82820,218.492115
1.000000,False,,Bates,0.003705,0.000428,1.642895,0.001202,0.029414,0.017870,526301.438084,3,0.000000,4141,82820,133.450014
1.000000,False,,Merton,0.000000,,1.642969,0.001202,0.029414,0.017870,526450.315139,4,0.000000,4141,82820,133.487764
5.000000,False,,ConstantVol,0.000000,,0.000000,,0.029414,0.017870,1221270.206366,5,0.000000,4141,82820,309.667645
5.000000,False,,Heston,0.000000,,0.000000,,0.029414,0.017870,1221270.206366,4,0.000000,4141,82820,309.667645
5.000000,False,,Bates,0.000000,,1.642969,,0.029414,0.017870,526450.315139,3,0.000000,4141,82820,133.487764
5.000000,False,,Merton,0.000000,,1.642969,0.001202,0.029414,0.017870,526450.315139,4,0.000000,4141,82820,133.487764
10.000000,False,,ConstantVol,0.000000,,0.000000,,0.029414,0.017870,1221270.206366,5,0.000000,4141,82820,309.667645
10.000000,False,,Heston,0.000000,,0.000000,,0.029414,0.017870,1221270.206366,4,0.000000,4141,82820,309.667645
10.000000,False,,Bates,0.000000,,1.642969,,0.029414,0.017870,526450.315139,3,0.000000,4141,82820,133.487764
10.000000,False,,Merton,0.000000,,1.642969,0.001202,0.029414,0.017870,526450.315139,4,0.000000,4141,82820,133.487764
