kappa,model,sigma_v,se_sigma_v,sigma_J,se_sigma_J,theta,lambda,j_stat,j_dof,j_pvalue,n_real,n_sim,objective
1.000000,ConstantVol,0.000000,,0.000000,,0.007690,0.000000,17687469.510311,5,0.000000,19444,388880,955.145185
1.000000,Heston,0.207565,0.000101,0.000000,,0.007690,0.012703,12246347.655333,4,0.000000,19444,388880,661.317889
1.000000,Bates,0.207858,0.000190,0.005755,0.002621,0.007690,0.012703,12253325.637653,3,0.000000,19444,388880,661.694709
1.000000,Merton,0.000000,,1.829128,0.000658,0.007690,0.012703,13253931.602385,4,0.000000,19444,388880,715.728666
5.000000,ConstantVol,0.000000,,0.000000,,0.007690,0.000000,17687469.510311,5,0.000000,19444,388880,955.145185
5.000000,Heston,0.849023,0.000198,0.000000,,0.007690,0.012703,54844712.775878,4,0.000000,19444,388880,2961.682185
5.000000,Bates,0.244901,0.000254,1.813921,0.000700,0.007690,0.012703,35991084.288363,3,0.000000,19444,388880,1943.562976
5.000000,Merton,0.000000,,1.829128,0.000658,0.007690,0.012703,13253931.602385,4,0.000000,19444,388880,715.728666
10.000000,ConstantVol,0.000000,,0.000000,,0.007690,0.000000,17687469.510311,5,0.000000,19444,388880,955.145185
10.000000,Heston,0.660000,0.000094,0.000000,,0.007690,0.012703,138134025.997657,4,0.000000,19444,388880,7459.407905
10.000000,Bates,0.782347,0.000450,1.576724,0.000684,0.007690,0.012703,85371161.357428,3,0.000000,19444,388880,4610.148088
10.000000,Merton,0.000000,,1.829128,0.000658,0.007690,0.012703,13253931.602385,4,0.000000,19444,388880,715.728666
